"x573227753765404672",2015-03-04 21:05:21,"x25073877","realDonaldTrump","The object of golf is not just to win. It is to play like a gentleman, and win.
 -- Phil Mickelson","Twitter Web Client",98,,,,FALSE,FALSE,291,178,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x574528075888787456",2015-03-08 11:12:22,"x25073877","realDonaldTrump","Today's final round of the WGC Cadillac Championship will be amazing. A lot of pressure on leader, who has played great. Big names hunting!","Twitter for Android",139,,,,FALSE,FALSE,76,35,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x572433881145729024",2015-03-02 16:30:47,"x25073877","realDonaldTrump","Via @WashTimes by @SethMcLaughlin1: “Donald Trump: I want to run for president ‘so badly’” http://t.co/JnGqrDNbSY","Twitter Web Client",113,,,,FALSE,FALSE,34,23,,,"washingtontimes.com/news/2015/feb/…","http://t.co/JnGqrDNbSY","http://www.washingtontimes.com/news/2015/feb/27/donald-trump-i-want-run-president-so-badly/",,,,,,,,,"x14662354 318999759","WashTimes SethMcLaughlin1","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x573683954244534272",2015-03-06 03:18:07,"x25073877","realDonaldTrump","""@dochubbard62: @realDonaldTrump 2016 - President of the United States of America. God bless and God speed, praying for you and the country.","Twitter for Android",140,,,,FALSE,FALSE,76,29,,,,,,,,,,,,,,"x4283296632 25073877","dochubbard62 realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x573316826815459329",2015-03-05 02:59:17,"x25073877","realDonaldTrump","""@mbabramson: @realDonaldTrump Why are you the only candidate who discusses US trade imbalances with other countries? It's important!","Twitter for Android",133,,,,FALSE,FALSE,50,23,,,,,,,,,,,,,,"x1964955486 25073877","mbabramson realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x573317128310398977",2015-03-05 03:00:29,"x25073877","realDonaldTrump","""@jamesmason1: “@realDonaldTrump: We create success or failure on the course primarily by our thoughts. -- Gary Player”""","Twitter for Android",120,,,,FALSE,FALSE,51,28,,,,,,,,,,,,,,"x41203048 25073877","jamesmason1 realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x573763905958318080",2015-03-06 08:35:49,"x25073877","realDonaldTrump","""@AndrewJAlbert01: Also, I want to hit @realDonaldTrump's new course, Ferry Point, when it opens. Views can't be beat.""","Twitter for Android",119,,,,FALSE,FALSE,16,8,,,,,,,,,,,,,,"x78747786 25073877","AndrewJAlbert01 realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x572856918953213952",2015-03-03 20:31:47,"x25073877","realDonaldTrump","""@SamDoyle12 @realDonaldTrump great posts. As a budding entrepreneur, I appreciate the quotes""  Great--work hard and good luck!","Twitter Web Client",127,,,,FALSE,FALSE,42,20,,,,,,,,,,,,,,"x588670532 25073877","SamDoyle12 realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x573764361996623872",2015-03-06 08:37:38,"x25073877","realDonaldTrump","""@MasterBaxter8: Only someone like you ""successful at so much"" deserves a shot to be President! We don't need another mediocre politician.""","Twitter for Android",139,,,,FALSE,FALSE,55,31,,,,,,,,,,,,,,"x48240104","MasterBaxter8","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x573646783416508416",2015-03-06 00:50:25,"x25073877","realDonaldTrump","Mexico's court system  corrupt.I want nothing to do with Mexico other than to build an impenetrable WALL and stop them from ripping off U.S.","Twitter for Android",140,,,,FALSE,FALSE,993,1302,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x573452447634591744",2015-03-05 11:58:12,"x25073877","realDonaldTrump","""@LakersCanes305: @TrumpDoral @realDonaldTrump I'll b there in a couple hours! Can't wait to see what this place looks like!","Twitter for Android",124,,,,FALSE,FALSE,12,8,,,,,,,,,,,,,,"x301817957 633797941 25073877","LakersCanes305 TrumpDoral realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x574026715023933442",2015-03-07 02:00:08,"x25073877","realDonaldTrump","""@toypilaVzla: Donald for President @realDonaldTrump. Trump is ☞ triumph ✌ #TrumpforPresident","Twitter for Android",93,,,,FALSE,FALSE,84,46,"TrumpforPresident",,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x571436534244769792",2015-02-27 22:27:41,"x25073877","realDonaldTrump","Via @TIME by @lullintheaction: ""#REALTIME: Donald Trump Weighs a 2016 Run At #CPAC2015"" http://t.co/aTq0RjzYbI","Twitter for BlackBerry",110,,,,FALSE,FALSE,54,42,"REALTIME CPAC2015",,"time.com/3726571/cpac-d…","http://t.co/aTq0RjzYbI","http://time.com/3726571/cpac-donald-trump/",,,,,,,,,"x14293310 304811625","TIME LullintheAction","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x573632902149378048",2015-03-05 23:55:16,"x25073877","realDonaldTrump","Ringling Brothers is phasing out their elephants. I,for one, will never go again. They probably used the animal rights stuff to reduce costs","Twitter for Android",140,,,,FALSE,FALSE,900,819,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x573453918711222272",2015-03-05 12:04:03,"x25073877","realDonaldTrump","Trump National Doral will have big crowds this weekend for the WGC. THE BLUE MONSTER IS READY FOR THE WORLD'S TOP FIFTY PLAYERS!","Twitter for Android",128,,,,FALSE,FALSE,73,45,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x574922578617331712",2015-03-09 13:19:58,"x25073877","realDonaldTrump","""@belllabooo13:  @AplemonLemon @foxandfriends glad your having a great start to your week! Keep it going! Run for President! We need You!""","Twitter for Android",138,,,,FALSE,FALSE,25,7,,,,,,,,,,,,,,"x2954067070 2851569999 15513604","belllabooo13 AplemonLemon foxandfriends","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x573758673840959488",2015-03-06 08:15:02,"x25073877","realDonaldTrump","""@spinenumber408: Quality fans, bro. “@Stevieboy_63: @realDonaldTrump Go Donald,your are the one to get this country back. DONALD TRUMP 2016","Twitter for Android",140,,,,FALSE,FALSE,32,11,,,,,,,,,,,,,,"x22834860 25073877","spinenumber408 realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x570697095449055236",2015-02-25 21:29:25,"x25073877","realDonaldTrump","Via @washingtonpost by @costareports: “Trump says he is serious about 2016 bid, is hiring staff and delaying TV gig” http://t.co/fZB9ppIAvk","Twitter Web Client",139,,,,FALSE,FALSE,104,86,,,"washingtonpost.com/politics/trump…","http://t.co/fZB9ppIAvk","http://www.washingtonpost.com/politics/trump-says-he-is-serious-about-2016-bid-is-hiring-staff-and-delaying-tv-gig/2015/02/25/4e9d3804-bd07-11e4-8668-4e7ba8439ca6_story.html",,,,,,,,,"x2467791 86129724","washingtonpost costareports","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x573317633224937472",2015-03-05 03:02:30,"x25073877","realDonaldTrump","""@tharris012: @realDonaldTrump for president""","Twitter for Android",45,,,,FALSE,FALSE,90,43,,,,,,,,,,,,,,"x499152321 25073877","tharris012 realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x572483579034411008",2015-03-02 19:48:16,"x25073877","realDonaldTrump","Entrepreneurs: Keep the big picture in mind. There are always opportunities &amp; possibilities, and thinking too small can negate a lot of them","Twitter Web Client",144,,,,FALSE,FALSE,296,269,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x573223638591143936",2015-03-04 20:49:00,"x25073877","realDonaldTrump","We create success or failure on the course primarily by our thoughts.
 -- Gary Player","Twitter Web Client",85,,,,FALSE,FALSE,172,158,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
