"x514403258400776192",2014-09-23 13:17:48,"x25073877","realDonaldTrump","""@donallentown: @realDonaldTrump @KyleKissKiss not only do you have a great name.. you'd win and do a great job. Hug @IvankaTrump for me :)""","Twitter for Android",140,,,,FALSE,FALSE,20,11,,,,,,,,,,,,,,"x2767166765 25073877 44596151 52544275","donallentown realDonaldTrump KyleKissKiss IvankaTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x512214207799234560",2014-09-17 12:19:18,"x25073877","realDonaldTrump","""@jake_wilfong: @realDonaldTrump was speaking the truth this morning on @MikeAndMike. Too many flags, let the boys play.""","Twitter for Android",121,,,,FALSE,FALSE,17,9,,,,,,,,,,,,,,"x292690341 25073877 873161094495383552","jake_wilfong realDonaldTrump MikeAndMike","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json","Manhattan","Manhattan, NY","city","United States","US","40.7624939 -73.9750479","-73.9750479 40.7624939","-74.026675 -73.910408 -73.910408 -74.026675 40.683935 40.683935 40.877483 40.877483"
"x512586453873078272",2014-09-18 12:58:28,"x25073877","realDonaldTrump","""@NYCdeb8tr  Mr. Trump, I would love to see you spice things up, and cut a rug on #DancingWiththeStars"" They would love to have me!","Twitter Web Client",131,,,,FALSE,FALSE,38,19,"DancingWiththeStars",,,,,,,,,,,,,"x2356732509","NYCdeb8tr","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x512393617382842368",2014-09-18 00:12:12,"x25073877","realDonaldTrump","""@woofeous: @realDonaldTrump @TrumpNewYork Love how Donald races to top to be the best in everything he puts his name on.""","Twitter for Android",122,,,,FALSE,FALSE,26,10,,,,,,,,,,,,,,"x1967608022 25073877 184890642","woofeous realDonaldTrump TrumpNewYork","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json","Manhattan","Manhattan, NY","city","United States","US","40.7624604 -73.9751076","-73.9751076 40.7624604","-74.026675 -73.910408 -73.910408 -74.026675 40.683935 40.683935 40.877483 40.877483"
"x513849711686864896",2014-09-22 00:38:12,"x25073877","realDonaldTrump","""@ilenayankoviak: @realDonaldTrump Trump 2016?""","Twitter for Android",47,,,,FALSE,FALSE,81,45,,,,,,,,,,,,,,"x571727563 25073877","ilenayankoviak realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x512697639893467136",2014-09-18 20:20:17,"x25073877","realDonaldTrump","Learn, work and think in equal proportions and you'll be going in the right direction.","Twitter Web Client",86,,,,FALSE,FALSE,283,333,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x513324889156370433",2014-09-20 13:52:45,"x25073877","realDonaldTrump","""@kylegolfmtnbike: @realDonaldTrump NFL is forever changed and I'm afraid in ten years it will be gone or flag football""","Twitter for Android",120,,,,FALSE,FALSE,56,53,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json","Manhattan","Manhattan, NY","city","United States","US","40.7624445 -73.9750555","-73.9750555 40.7624445","-74.026675 -73.910408 -73.910408 -74.026675 40.683935 40.683935 40.877483 40.877483"
"x512341618217979905",2014-09-17 20:45:35,"x25073877","realDonaldTrump","The Iraqi army has squandered the majority of the weapons &amp; training we gave them for 10 long years. When will we learn?","Twitter Web Client",124,,,,FALSE,FALSE,166,136,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x512697024773632000",2014-09-18 20:17:50,"x25073877","realDonaldTrump","Realize that persistence can go a long way. Being stubborn is often an attribute.","Twitter Web Client",81,,,,FALSE,FALSE,245,278,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x512341480728698880",2014-09-17 20:45:02,"x25073877","realDonaldTrump","So Obama wants to bomb ISIS in Iraq &amp; arm them in Syria? What is he doing!","Twitter Web Client",78,,,,FALSE,FALSE,989,1066,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x512213036057501697",2014-09-17 12:14:38,"x25073877","realDonaldTrump","""@bhamp23: @realDonaldTrump @espn great interview""","Twitter for Android",50,,,,FALSE,FALSE,3,3,,,,,,,,,,,,,,"x1090478622 25073877 2557521","bhamp23 realDonaldTrump espn","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
