"x324673957682896896",2013-04-18 00:01:18,"x25073877","realDonaldTrump","""@itsHODAIFA: @realDonaldTrump I wish someday i would be like you! You're my inspiration! Keep up the good work.   Thanks!","Twitter for Android",122,,,,FALSE,FALSE,8,16,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x324623320232361984",2013-04-17 20:40:05,"x25073877","realDonaldTrump","W/ spectacular panoramic Pacific Ocean views, @TrumpGolfLA is the top luxury public golf course in the country http://t.co/MYiwkyfiVU","Twitter Web Client",133,,,,FALSE,FALSE,11,13,,,"bit.ly/hAJgi6","http://t.co/MYiwkyfiVU","http://bit.ly/hAJgi6",,,,,,,,,"x29562422","TrumpGolfLA","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x324176350527238144",2013-04-16 15:03:59,"x25073877","realDonaldTrump","@mrmikeyharrison You will love it!","Twitter Web Client",34,"x323895455111065600","x123130651","houndogharrison",FALSE,FALSE,3,1,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x324264431196454912",2013-04-16 20:53:59,"x25073877","realDonaldTrump","@lesterwge  Thank you.","Twitter Web Client",22,"x324242620224262144","x412464138","lesterwge",FALSE,FALSE,0,1,,,,,,,,,,,,,,"x412464138","lesterwge","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x324947854038802432",2013-04-18 18:09:40,"x25073877","realDonaldTrump","@camarrone Great!","Twitter Web Client",17,"x324862384227381248","x139795082","camarrone",FALSE,FALSE,0,1,,,,,,,,,,,,,,"x139795082","camarrone","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x324566537245696000",2013-04-17 16:54:27,"x25073877","realDonaldTrump","Had a fantastic time at yesterday’s All-Star @ApprenticeNBC press conference with @StephenBaldwin7 in @TrumpTowerNY.","Twitter Web Client",116,,,,FALSE,FALSE,14,14,,,,,,,,,,,,,,"x21920965 36734275 745521429572030464","ApprenticeNBC StephenBaldwin7 TrumpTowerNY","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x324687099884343298",2013-04-18 00:53:31,"x25073877","realDonaldTrump","""@ILOVEBRITNEY_7: @realDonaldTrump could you run for president ? We need you!""  We need someone!","Twitter for Android",96,,,,FALSE,FALSE,18,29,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x324686345555550210",2013-04-18 00:50:31,"x25073877","realDonaldTrump","""@Slave4Suzi: @KatrinaDeVita I highly recommend you follow @realDonaldTrump if you don't already. The man's a genius."" Thank you!","Twitter for Android",129,,,,FALSE,FALSE,7,16,,,,,,,,,,,,,,"x749946933758820352 25073877","Slave4Suzi realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x324617539214782465",2013-04-17 20:17:07,"x25073877","realDonaldTrump","Obama’s $1T+ deficit budget expanded welfare &amp; green cronyism &amp; it cut domestic bomb prevention in half http://t.co/JNJRVIMW3B","Twitter Web Client",134,,,,FALSE,FALSE,37,183,,,"bit.ly/XRjmcP","http://t.co/JNJRVIMW3B","http://bit.ly/XRjmcP",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x324954849206759424",2013-04-18 18:37:28,"x25073877","realDonaldTrump","@aclutter51  We need someone!","Twitter Web Client",29,"x324709468472492036","x35831138","aclutter51",FALSE,FALSE,0,1,,,,,,,,,,,,,,"x35831138","aclutter51","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
