"x406732995849359360",2013-11-30 10:34:37,"x25073877","realDonaldTrump","""@windwatchorg: No more wind turbines, county tells province:Wind farm developers should look elsewhere than Duffe... http://t.co/pfhr3OEB4f","Twitter for Android",140,,,,FALSE,FALSE,9,9,,,"bit.ly/1ilEHVd","http://t.co/pfhr3OEB4f","http://bit.ly/1ilEHVd",,,,,,,,,"x19776476","windwatchorg","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x406729452329373696",2013-11-30 10:20:32,"x25073877","realDonaldTrump","""@SOS2day: Guilty plea in bird deaths at wind farms a first - New York News http://t.co/6kQcclnWxU"" @AlexSalmond @aberdeenshire","Twitter for Android",127,,,,FALSE,FALSE,14,18,,,"myfoxny.com/story/24050658…","http://t.co/6kQcclnWxU","http://www.myfoxny.com/story/24050658/guilty-plea-in-bird-deaths-at-wind-farms-a-first#.UpmMWZcYHe9.twitter",,,,,,,,,"x140083864 236786367 20442387","SOS2day AlexSalmond Aberdeenshire","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x407935209263230977",2013-12-03 18:11:47,"x25073877","realDonaldTrump","@TrumpChicago Grand Deluxe Suites = Chicago’s most spacious hotel rooms, each w/ 10 ft floor to ceiling windows http://t.co/uEO8BfYKA5","Twitter Web Client",134,,"x48223726","TrumpChicago",FALSE,FALSE,5,7,,,"bit.ly/1eLLQsh","http://t.co/uEO8BfYKA5","http://bit.ly/1eLLQsh",,,,,,,,,"x48223726","TrumpChicago","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x408256977618210816",2013-12-04 15:30:23,"x25073877","realDonaldTrump","""Those who lack courage will always find a philosophy to justify it.""  -- Albert Camus","Twitter Web Client",86,,,,FALSE,FALSE,259,390,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x406550671174152192",2013-11-29 22:30:08,"x25073877","realDonaldTrump","""@dhowejr7: @realDonaldTrump @graeme123s jUST WANTED TO SAY THANKYOU. YOUR A GREAT MAN""  Thank you!","Twitter for Android",99,,,,FALSE,FALSE,19,10,,,,,,,,,,,,,,"x1851611742 25073877 923608058722508802","dhowejr7 realDonaldTrump Graeme123s","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x407506560706179072",2013-12-02 13:48:29,"x25073877","realDonaldTrump","""@FFXFamilyFun:My boy (6) is REALLY into @PassGoMonopoly and getting RE so I call him Trump Jr (nicely!). Hope you don't mind! ;)""  My honor","Twitter for Android",140,,,,FALSE,FALSE,27,16,,,,,,,,,,,,,,"x138480220 164356890","FFXFamilyFun PassGoMonopoly","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x408028871746125824",2013-12-04 00:23:58,"x25073877","realDonaldTrump","""@dsing33: @DonaldJTrumpJr @realDonaldTrump who will run the Trump empire when Trump Sr is president?""","Twitter for Android",102,,,,FALSE,FALSE,42,28,,,,,,,,,,,,,,"x185747295 39344374 25073877","dsing33 DonaldJTrumpJr realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x407924180772855808",2013-12-03 17:27:58,"x25073877","realDonaldTrump","@StefThomason Great!","Twitter Web Client",20,"x407891096291643392","x28163718","StefThomason",FALSE,FALSE,2,2,,,,,,,,,,,,,,"x28163718","StefThomason","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x408629701058392066",2013-12-05 16:11:27,"x25073877","realDonaldTrump","Why is it that when Warren Buffett uses the bankruptcy laws to his benefit, nobody cares, but with me they go nuts!","Twitter Web Client",115,,,,FALSE,FALSE,217,161,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x408983789830815744",2013-12-06 15:38:28,"x25073877","realDonaldTrump","We should be focused on magnificently clean and healthy air and not distracted by the expensive hoax that is global warming!","Twitter for Android",124,,,,FALSE,FALSE,367,460,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x406943740511940608",2013-12-01 00:32:03,"x25073877","realDonaldTrump","That was a great football game.","Twitter for Android",31,,,,FALSE,FALSE,637,629,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x407926068318724096",2013-12-03 17:35:28,"x25073877","realDonaldTrump","@PaulSRiddell  Thank you.","Twitter Web Client",25,"x407903881029369856","x419590507","PaulSRiddell",FALSE,FALSE,0,2,,,,,,,,,,,,,,"x419590507","PaulSRiddell","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x406909015109947392",2013-11-30 22:14:03,"x25073877","realDonaldTrump","""@SueJaneRoberts: @realDonaldTrump Any thing u work on is awesome""  Thanks.","Twitter for Android",75,,,,FALSE,FALSE,21,8,,,,,,,,,,,,,,"x375738464 25073877","SueJaneRoberts realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x408595321384476673",2013-12-05 13:54:50,"x25073877","realDonaldTrump","The problem w/ the concept of ""global warming"" is that the U.S. is spending a fortune on ""fixing it"" while China &amp; others do nothing!","Twitter Web Client",137,,,,FALSE,FALSE,229,244,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x408977406779596801",2013-12-06 15:13:06,"x25073877","realDonaldTrump","""@happypaultk                     
@realDonaldTrump look what heavy winds did to one of our Scottish wind turbines"" http://t.co/goNBiALCek","Twitter Web Client",138,,,,FALSE,FALSE,105,171,,,"pic.twitter.com/goNBiALCek","http://t.co/goNBiALCek","https://twitter.com/happypaultk/status/408568700250640384/photo/1",,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x406910859425120257",2013-11-30 22:21:23,"x25073877","realDonaldTrump","""@pbaratelli: @realDonaldTrump also mention charity payment when PGA tour comes there for the event.""  True!","Twitter for Android",108,,,,FALSE,FALSE,17,9,,,,,,,,,,,,,,"x193325767 25073877","pbaratelli realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x407958472492212225",2013-12-03 19:44:14,"x25073877","realDonaldTrump","@codyaa722 Yes, it will happen.","Twitter Web Client",31,"x407944070858670080","x33653450","codyaa722",FALSE,FALSE,0,1,,,,,,,,,,,,,,"x33653450","codyaa722","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x406737404750733312",2013-11-30 10:52:08,"x25073877","realDonaldTrump","""@Al_Co: @realDonaldTrump Wind Turbines are Ugly and a FRAUD. Remove them. UK is going down the gutter."" @aberdeenshire @AlexSalmond","Twitter for Android",132,,,,FALSE,FALSE,17,28,,,,,,,,,,,,,,"x810489092 25073877 20442387 236786367","Al_Co realDonaldTrump Aberdeenshire AlexSalmond","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
