"x725845855987617792",2016-04-29 00:35:12,"x25073877","realDonaldTrump","RT @newtgingrich: Seems out of touch w/ reality to announce a VP nominee before securing 1237 delegates. https://t.co/Hqx8MRyAjR https://t.…","Twitter for iPhone",140,,,,FALSE,TRUE,0,5281,,,"bit.ly/1VSPjhW","https://t.co/Hqx8MRyAjR","http://bit.ly/1VSPjhW",,,,,,,,,"x20713061","newtgingrich","en",,,,,,,,,,,,,,,,"x725390789447061504","Seems out of touch w/ reality to announce a VP nominee before securing 1237 delegates. https://t.co/Hqx8MRyAjR https://t.co/xXDa4qJ5tP",2016-04-27 13:26:55,,11011,"x20713061","newtgingrich","Newt Gingrich",2135979,917,10789,"","Husband, father, grandfather, citizen, small businessman, author, former Speaker of the House.",TRUE,,,,,,,,,
"x727796025247846400",2016-05-04 09:44:28,"x25073877","realDonaldTrump","I would rather run against Crooked Hillary Clinton than Bernie Sanders and that will happen because the books are cooked against Bernie!","Twitter for Android",136,,,,FALSE,FALSE,28926,12529,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x729404337164783617",2016-05-08 20:15:20,"x25073877","realDonaldTrump","Crooked Hillary just can't close the deal with Bernie. It will be the same way with ISIS, and China on trade, and Mexico at the border. Bad!","Twitter for iPhone",140,,,,FALSE,FALSE,24064,8569,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x726514136838975494",2016-04-30 20:50:42,"x25073877","realDonaldTrump","Trump locks down Delaware GOP delegates. #Trump2016 #MAGA 
https://t.co/sto7CYV1fw","Twitter for iPhone",82,,,,FALSE,FALSE,11316,4254,"Trump2016 MAGA",,"delawareonline.com/story/news/pol…","https://t.co/sto7CYV1fw","http://www.delawareonline.com/story/news/politics/2016/04/30/trump-locks-down-state-gop-convention/83712702/?from=global&sessionKey=&autologin=",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x728777556804153346",2016-05-07 02:44:44,"x25073877","realDonaldTrump","Goofy Elizabeth Warren and her phony Native American heritage are on a Twitter rant. She is too easy! I'm driving her nuts.","Twitter for iPhone",123,,,,FALSE,FALSE,20113,6817,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x728725179074023425",2016-05-06 23:16:36,"x25073877","realDonaldTrump","Goofy Elizabeth Warren, Hillary Clinton’s flunky, has a career that is totally based on a lie. She is not Native American.","Twitter for iPhone",122,,,,FALSE,FALSE,18099,6504,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x728365792077742080",2016-05-05 23:28:31,"x25073877","realDonaldTrump","Join me tomorrow! #Trump2016 
#MakeAmericaGreatAgain 

Omaha, Nebraska:
https://t.co/2OWQIlNutu

Eugene, Oregon:
https://t.co/oroTbvsNdQ","Twitter for iPhone",136,,,,FALSE,FALSE,8383,3327,"Trump2016 MakeAmericaGreatAgain",,"donaldjtrump.com/schedule/regis… donaldjtrump.com/schedule/regis…","https://t.co/2OWQIlNutu https://t.co/oroTbvsNdQ","https://www.donaldjtrump.com/schedule/register/omaha-nebraska/ https://www.donaldjtrump.com/schedule/register/eugene-oregon/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x727801034551087104",2016-05-04 10:04:23,"x25073877","realDonaldTrump","I will be interviewed on @Morning_Joe at 6:15 A.M. Enjoy!","Twitter for Android",57,,,,FALSE,FALSE,7179,1393,,,,,,,,,,,,,,"x254117355","Morning_Joe","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x729188558200786944",2016-05-08 05:57:54,"x25073877","realDonaldTrump","""@matandsher: I want a leader that will shoot straight with us. The politicians can't. @realDonaldTrump will give his all for us!","Twitter for Android",129,,,,FALSE,FALSE,11967,3716,,,,,,,,,,,,,,"x1097225142 25073877","matandsher realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x728691238166220801",2016-05-06 21:01:44,"x25073877","realDonaldTrump","Response to @LindseyGrahamSC:
https://t.co/lSDE7LHc95","Twitter for iPhone",53,,,,FALSE,FALSE,8361,3244,,,"bit.ly/1QUjCfyGrahamR…","https://t.co/lSDE7LHc95","http://bit.ly/1QUjCfyGrahamResponse",,,,,,,,,"x432895323","LindseyGrahamSC","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x727252046286450689",2016-05-02 21:42:54,"x25073877","realDonaldTrump","Thank you Carmel, Indiana! Get out &amp; #VoteTrump tomorrow! #INPrimary #MakeAmericaGreatAgain https://t.co/j07c4oYryG","Twitter for iPhone",95,,,,FALSE,FALSE,9044,2851,"VoteTrump INPrimary MakeAmericaGreatAgain",,,,,"http://pbs.twimg.com/media/Che32oLWgAgB7FN.jpg","https://t.co/j07c4oYryG","https://twitter.com/realDonaldTrump/status/727252046286450689/photo/1","photo","http://pbs.twimg.com/media/Che32oLWgAgB7FN.jpg http://pbs.twimg.com/media/Che32oLWgAUFlGQ.jpg http://pbs.twimg.com/media/Che32pGWMAAezFS.jpg http://pbs.twimg.com/media/Che32oUWwAEliew.jpg","https://t.co/j07c4oYryG https://t.co/j07c4oYryG https://t.co/j07c4oYryG https://t.co/j07c4oYryG","https://twitter.com/realDonaldTrump/status/727252046286450689/photo/1 https://twitter.com/realDonaldTrump/status/727252046286450689/photo/1 https://twitter.com/realDonaldTrump/status/727252046286450689/photo/1 https://twitter.com/realDonaldTrump/status/727252046286450689/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/eca35cbd75f0a1e6.json","Carmel","Carmel, IN","city","United States","US",,,"-86.241245 -86.023652 -86.023652 -86.241245 39.926048 39.926048 40.000451 40.000451"
"x729332727665790976",2016-05-08 15:30:47,"x25073877","realDonaldTrump",".@KellyannePolls  Kellyanne, you were fantastic on @meetthepress today. Keep going - I will win for the people. MAKE AMERICA GREAT AGAIN!","Twitter for Android",137,,,,FALSE,FALSE,10658,3130,,,,,,,,,,,,,,"x471672239 11856892","KellyannePolls MeetThePress","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x726886687276699648",2016-05-01 21:31:05,"x25073877","realDonaldTrump","Thank you Fort Wayne, Indiana!
#Trump2016 #INPrimary https://t.co/mDGrmMmk5T","Twitter for iPhone",52,,,,FALSE,FALSE,16972,5829,"Trump2016 INPrimary",,,,,"http://pbs.twimg.com/media/ChZrlk7XEAAYUaX.jpg","https://t.co/mDGrmMmk5T","https://twitter.com/realDonaldTrump/status/726886687276699648/photo/1","photo","http://pbs.twimg.com/media/ChZrlk7XEAAYUaX.jpg","https://t.co/mDGrmMmk5T","https://twitter.com/realDonaldTrump/status/726886687276699648/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/1010ecfa7d3a40f8.json","Indiana","Indiana, USA","admin","United States","US",,,"-88.097892 -84.78458 -84.78458 -88.097892 37.771743 37.771743 41.761368 41.761368"
"x728403179214376960",2016-05-06 01:57:05,"x25073877","realDonaldTrump","Can you believe Crooked Hillary said, ""We are going to put a whole lot of coal miners&amp;coal companies out of business."" She then apologized.","Twitter for iPhone",143,,,,FALSE,FALSE,25568,9636,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x725824909151199232",2016-04-28 23:11:58,"x25073877","realDonaldTrump","#MakeAmericaGreatAgain #Trump2016 https://t.co/ZHM5w7jnss","Twitter for iPhone",33,,,,FALSE,FALSE,11584,4410,"MakeAmericaGreatAgain Trump2016",,,,,"http://pbs.twimg.com/media/ChKlnn3UcAAb1B5.jpg","https://t.co/ZHM5w7jnss","https://twitter.com/realDonaldTrump/status/725824909151199232/photo/1","photo","http://pbs.twimg.com/media/ChKlnn3UcAAb1B5.jpg","https://t.co/ZHM5w7jnss","https://twitter.com/realDonaldTrump/status/725824909151199232/photo/1",,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x728292625850208256",2016-05-05 18:37:47,"x25073877","realDonaldTrump","I will be interviewed by @BretBaier @SpecialReport at 6pm ET tonight @FoxNews","Twitter Web Client",77,,,,FALSE,FALSE,7333,2111,,,,,,,,,,,,,,"x18646108 122207745 1367531","BretBaier SpecialReport FoxNews","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"x726246693759496192",2016-04-30 03:07:59,"x25073877","realDonaldTrump",".@AC360  Anderson, so amazing. Your mother is, and always has been, an incredible woman!","Twitter for Android",88,,,,FALSE,FALSE,12016,2889,,,,,,,,,,,,,,"x227837742","AC360","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
